epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.6955,1.84999,2.24028,1.78513,0.68062,0.40533,0.43574,0.20787,1.96488,1.59623,1.97523,0.000220088,0.000220088,0.000220088
2,179.71,1.7334,1.35489,1.63985,0.7283,0.42071,0.44798,0.21919,1.93399,1.49633,1.98944,0.000439501,0.000439501,0.000439501
3,273.583,1.7461,1.33987,1.65762,0.74584,0.40499,0.4587,0.20766,1.96031,1.47008,1.98852,0.000655979,0.000655979,0.000655979
4,375.231,1.74261,1.31501,1.66395,0.73973,0.41442,0.46667,0.22165,1.90979,1.42001,1.94426,0.000653793,0.000653793,0.000653793
5,489.446,1.70018,1.24221,1.61607,0.59041,0.39906,0.43463,0.2047,1.94838,1.44609,1.96784,0.000649391,0.000649391,0.000649391
6,584.004,1.68074,1.21305,1.61772,0.67489,0.44494,0.48398,0.23409,1.9285,1.32583,1.9581,0.000644989,0.000644989,0.000644989
7,682.206,1.6738,1.2106,1.62246,0.82896,0.44479,0.49907,0.24356,1.83776,1.31688,1.86028,0.000640587,0.000640587,0.000640587
8,805.669,1.64811,1.15399,1.60307,0.52433,0.50553,0.51211,0.24721,1.82322,1.25776,1.84083,0.000636185,0.000636185,0.000636185
9,891.754,1.64579,1.16672,1.58702,0.71794,0.50183,0.52967,0.26328,1.7874,1.20215,1.8254,0.000631782,0.000631782,0.000631782
10,985.757,1.60316,1.10182,1.56891,0.77368,0.48096,0.52229,0.25864,1.81229,1.19003,1.87012,0.00062738,0.00062738,0.00062738
11,1077.39,1.61609,1.10913,1.57063,0.61697,0.51147,0.52288,0.25355,1.82365,1.22164,1.82312,0.000622978,0.000622978,0.000622978
12,1179.15,1.58092,1.06105,1.53288,0.54743,0.5118,0.53647,0.26696,1.75831,1.16017,1.79015,0.000618576,0.000618576,0.000618576
